"3-10-10","4 HAMPTON PL - 4 Hampton Pl","","Yes"
"3-10-2","1 HAMPTON PL - 1 Hampton Pl","","Yes"
"31-1-23","184 LIBERTY ST - 184 Liberty St","","Yes"
"3-12-13","220 NORTH ST - 220 North St","","Yes"
"31-2-13.2","54 GRAND ST - 54 Grand St","","Yes"
"31-2-15.1","74 BROADWAY - 74 Broadway","","Yes"
"3-12-16","238 NORTH ST - 238 North St","","Yes"
"31-2-18","48 GRAND ST - 48 Grand St","","Yes"
"32-1-15","250 LITTLE BRITAIN RD REAR - 250 Little Britain Rd Rear","","Yes"
"32-1-16.11","250 LITTLE BRITAIN RD - 250 Little Britain Rd","","Yes"
"32-1-4","10 LOCUST ST - 10 Locust St","","Yes"
"32-1-8","41 WISNER AVE - 41 Wisner Ave","","Yes"
"32-1-9.21","35 WISNER AVE - 35 Wisner Ave","","Yes"
"3-3-1","18 JAMISON PL - 18 Jamison Pl","","Yes"
"3-4-10","116 NORTH ST - 116 North St","","Yes"
"34-2-19","315 BROADWAY - 315 Broadway","","Yes"
"34-2-5","371 BROADWAY - 371 Broadway","","Yes"
"34-3-21","318 WASHINGTON ST - 318 Washington St","","Yes"
"34-3-22","320 WASHINGTON ST - 320 Washington St","","Yes"
"34-3-23","322 WASHINGTON ST - 322 Washington St","","Yes"
"34-3-24","324 WASHINGTON ST - 324 Washington St","","Yes"
"34-3-27","334 WASHINGTON ST - 334 Washington St","","Yes"
"34-3-39","364 WASHINGTON ST - 364 Washington St","","Yes"
"35-1-19","288 ANN ST - 288 Ann St","","Yes"
"35-2-23","197 BROADWAY - 197 Broadway","","Yes"
"35-2-26","196 ANN ST - 196 Ann St","","Yes"
"35-3-14","16 WILLIAM ST - 16 William St","","Yes"
"35-3-17.1","26 WILLIAM ST - 26 William St","","Yes"
"35-3-31","248 WASHINGTON ST - 248 Washington St","","Yes"
